EVM0001809	LOC-Os04g16970
EVM0003699	LOC-Os08g43160
EVM0002726	LOC-Os04g46180
EVM0026651	LOC-Os07g46490
EVM0011934	LOC-Os03g61040
EVM0013441	ChrSy
EVM0004202	LOC-Os06g07860
EVM0029586	LOC-Os06g23114
EVM0018575	LOC-Os01g08150
EVM0000834	LOC-Os02g15810
EVM0025013	LOC-Os08g41250
EVM0027844	LOC-Os02g37870
EVM0036032	LOC-Os04g41020
EVM0009832	LOC-Os07g13980
EVM0014224	LOC-Os06g09340
EVM0033481	LOC-Os05g49920
EVM0026837	LOC-Os08g08850
EVM0002404	LOC-Os02g29980
EVM0005416	LOC-Os01g71220
EVM0004995	LOC-Os08g35470
EVM0004544	LOC-Os06g06030
EVM0007377	LOC-Os03g56400
EVM0010625	LOC-Os12g34062
EVM0008368	LOC-Os03g12820
EVM0020925	LOC-Os05g41090
EVM0027868	LOC-Os03g58050
EVM0014781	LOC-Os12g04934
EVM0028649	LOC-Os06g04820
EVM0014359	LOC-Os05g30900
EVM0030491	LOC-Os01g52090
EVM0023082	LOC-Os09g27650
EVM0000359	LOC-Os03g51950
EVM0006600	LOC-Os04g52050
EVM0001586	LOC-Os05g10630
EVM0007176	LOC-Os02g52630
EVM0024308	LOC-Os11g36430
EVM0031610	LOC-Os05g44390
EVM0026677	LOC-Os10g30100
EVM0017238	LOC-Os10g35040
EVM0002736	LOC-Os03g11660
EVM0031633	LOC-Os02g54820
EVM0011832	LOC-Os06g22960
EVM0030426	LOC-Os06g37510
EVM0037284	LOC-Os10g42620
EVM0025687	LOC-Os04g20810
EVM0004467	LOC-Os01g72990
EVM0027494	LOC-Os09g36030
EVM0022671	LOC-Os05g49750
EVM0016728	LOC-Os01g33030
EVM0009297	LOC-Os07g01550
EVM0032161	LOC-Os10g41520
EVM0031662	LOC-Os08g09900
EVM0032111	LOC-Os05g23940
EVM0022159	LOC-Os03g14120
EVM0002953	LOC-Os12g13130
EVM0019266	LOC-Os11g11020
EVM0024769	LOC-Os05g36090
EVM0017738	LOC-Os06g06900
EVM0024289	LOC-Os07g48100
EVM0017664	LOC-Os01g04660
EVM0013979	LOC-Os04g59330
EVM0014686	LOC-Os11g14070
EVM0024261	LOC-Os01g54090
EVM0000860	LOC-Os07g12330
EVM0006924	LOC-Os01g14950
EVM0021603	LOC-Os10g40590
EVM0010209	LOC-Os05g18950
EVM0021248	LOC-Os10g11260
EVM0001491	LOC-Os06g47340
EVM0020358	LOC-Os04g39260
EVM0027713	LOC-Os02g32740
EVM0015777	LOC-Os03g15910
EVM0018804	LOC-Os01g09800
EVM0029336	LOC-Os11g14950
EVM0010212	LOC-Os04g54420
EVM0029995	LOC-Os01g56000
EVM0012875	LOC-Os12g38800
EVM0010577	LOC-Os03g17020
EVM0010591	LOC-Os04g23180
EVM0006963	LOC-Os02g42700
EVM0021855	LOC-Os03g26860
EVM0030608	LOC-Os09g24840
EVM0018969	LOC-Os01g63950
EVM0011899	LOC-Os03g12250
EVM0014691	LOC-Os05g44020
EVM0028087	LOC-Os04g37740
EVM0002211	LOC-Os03g11720
EVM0005243	LOC-Os02g04660
EVM0007997	LOC-Os03g44430
EVM0001846	LOC-Os02g46970
EVM0017849	LOC-Os06g01350
EVM0031210	LOC-Os02g03575
EVM0019123	LOC-Os01g57945
EVM0000556	LOC-Os07g33898
EVM0010516	LOC-Os08g38240
EVM0014455	LOC-Os02g18870
EVM0031011	LOC-Os07g46400
EVM0023091	LOC-Os03g15710
EVM0024101	LOC-Os08g39100
EVM0001236	LOC-Os01g43490
EVM0011105	LOC-Os05g14270
EVM0011905	LOC-Os09g06560
EVM0036063	LOC-Os10g42190
EVM0021251	LOC-Os07g15500
EVM0035605	LOC-Os04g38450
EVM0026102	LOC-Os01g42090
EVM0010825	LOC-Os06g04640
EVM0033694	LOC-Os11g31530
EVM0030527	LOC-Os07g47720
EVM0010487	LOC-Os03g47550
EVM0019477	LOC-Os10g38234
EVM0015513	LOC-Os02g01970
EVM0017889	LOC-Os01g43170
EVM0000459	LOC-Os12g30610
EVM0012175	LOC-Os08g33860
EVM0020018	LOC-Os04g43360
EVM0017333	LOC-Os11g11340
EVM0005548	LOC-Os03g09210
EVM0024104	LOC-Os07g37040
EVM0001436	LOC-Os05g01750
EVM0017442	LOC-Os02g58740
EVM0009474	LOC-Os01g20840
EVM0034068	LOC-Os05g25480
EVM0035300	LOC-Os02g42406
EVM0030055	LOC-Os02g55610
EVM0001660	LOC-Os09g35860
EVM0028990	LOC-Os12g41890
EVM0011119	LOC-Os02g39160
EVM0026885	LOC-Os04g23550
EVM0025422	LOC-Os06g21340
EVM0036133	LOC-Os01g01160
EVM0012541	LOC-Os12g01580
EVM0020028	LOC-Os11g08400
EVM0003500	LOC-Os03g25140
EVM0000852	LOC-Os01g62650
EVM0018591	LOC-Os04g49160
EVM0004635	LOC-Os06g20430
EVM0036798	LOC-Os05g01760
EVM0005745	LOC-Os02g01010
EVM0015855	LOC-Os01g05680
EVM0006121	LOC-Os03g46710
EVM0013206	LOC-Os04g46930
EVM0007518	LOC-Os09g10770
EVM0032260	LOC-Os01g56190
EVM0021344	LOC-Os06g03600
EVM0033526	LOC-Os01g37832
EVM0020890	LOC-Os02g43340
EVM0012561	LOC-Os08g28190
EVM0031338	LOC-Os11g27264
EVM0009148	LOC-Os03g55350
EVM0027356	LOC-Os06g06880
EVM0022108	LOC-Os05g28190
EVM0002284	LOC-Os03g51250
EVM0010495	LOC-Os02g52390
EVM0009097	LOC-Os03g46340
EVM0000925	LOC-Os05g01500
EVM0012003	LOC-Os06g14550
EVM0022740	LOC-Os01g73230
EVM0024685	LOC-Os12g37970
EVM0004881	LOC-Os07g43890
EVM0015003	LOC-Os02g07740
EVM0010809	LOC-Os01g42490
EVM0015590	LOC-Os08g38820
EVM0011639	LOC-Os09g34000
EVM0030013	LOC-Os02g57250
EVM0014020	LOC-Os01g64820
EVM0008645	LOC-Os07g12640
EVM0009150	LOC-Os03g53750
EVM0002258	LOC-Os03g31150
EVM0005674	LOC-Os06g07210
EVM0014234	LOC-Os12g43890
EVM0014237	LOC-Os07g45070
EVM0019252	LOC-Os06g11320
EVM0011178	LOC-Os08g42580
EVM0004291	LOC-Os03g06350
EVM0006912	LOC-Os04g42520
EVM0033978	LOC-Os04g43650
EVM0013612	LOC-Os08g31970
EVM0023359	LOC-Os02g39100
EVM0003687	LOC-Os09g13740
EVM0002523	LOC-Os06g41880
EVM0034621	LOC-Os04g33820
EVM0021925	LOC-Os12g38640
EVM0033965	LOC-Os04g56950
EVM0021511	LOC-Os04g20164
EVM0020504	LOC-Os01g51550
EVM0013787	LOC-Os10g33960
EVM0004515	LOC-Os02g54140
EVM0008229	LOC-Os03g38960
EVM0004183	LOC-Os03g49770
EVM0028048	LOC-Os04g23890
EVM0012370	LOC-Os02g37920
EVM0011013	LOC-Os12g13450
EVM0007242	LOC-Os04g42900
EVM0034406	LOC-Os02g56160
EVM0001752	LOC-Os11g37980
EVM0029152	LOC-Os03g13230
EVM0019335	LOC-Os04g42000
EVM0023841	LOC-Os02g32620
EVM0034843	LOC-Os03g55950
EVM0016526	LOC-Os07g11010
EVM0032677	LOC-Os03g02970
EVM0016637	LOC-Os01g18280
EVM0018531	LOC-Os07g42924
EVM0023760	LOC-Os03g63950
EVM0000756	LOC-Os11g04954
EVM0019711	LOC-Os08g41420
EVM0002698	LOC-Os05g09490
EVM0030955	LOC-Os05g37880
EVM0025933	LOC-Os12g06560
EVM0036934	LOC-Os08g01880
EVM0003529	LOC-Os11g47770
EVM0009824	LOC-Os05g50840
EVM0006187	LOC-Os01g19870
EVM0004537	LOC-Os07g44040
EVM0015324	LOC-Os02g35880
EVM0034399	LOC-Os01g14100
EVM0002820	LOC-Os01g41870
EVM0015238	LOC-Os06g13070
EVM0031535	LOC-Os01g21990
EVM0019154	LOC-Os06g46000
EVM0001897	LOC-Os02g24134
EVM0013473	LOC-Os02g54760
EVM0026799	LOC-Os08g29160
EVM0021902	LOC-Os01g15039
EVM0005763	LOC-Os03g29830
EVM0021851	LOC-Os08g35310
EVM0003284	LOC-Os09g25090
EVM0010279	LOC-Os08g33640
EVM0020429	LOC-Os06g15700
EVM0022182	LOC-Os09g39560
EVM0027266	LOC-Os02g14730
EVM0014060	LOC-Os01g66490
EVM0012779	LOC-Os01g21070
EVM0006104	LOC-Os08g39550
EVM0036249	LOC-Os05g11780
EVM0001335	LOC-Os10g26560
EVM0002167	LOC-Os07g31340
EVM0010513	LOC-Os09g25950
EVM0019502	LOC-Os07g38970
EVM0000584	LOC-Os05g48510
EVM0024591	LOC-Os02g01220
EVM0035328	LOC-Os04g40300
EVM0021099	LOC-Os02g57670
EVM0009711	LOC-Os04g47290
EVM0001235	LOC-Os09g08430
EVM0029587	LOC-Os06g11140
EVM0014227	LOC-Os01g73750
EVM0016606	LOC-Os11g26990
EVM0015113	LOC-Os07g46330
EVM0012267	LOC-Os06g47920
EVM0019457	LOC-Os01g68130
EVM0002651	LOC-Os02g48630
EVM0015847	LOC-Os01g14840
EVM0002506	LOC-Os04g02150
EVM0023150	LOC-Os02g33020
EVM0024481	LOC-Os03g04490
EVM0019214	LOC-Os03g19540
EVM0005628	LOC-Os05g35110
EVM0008863	LOC-Os02g56740
EVM0003380	LOC-Os02g32930
EVM0033338	LOC-Os09g32090
EVM0021160	LOC-Os01g01369
EVM0032327	LOC-Os03g16440
EVM0010656	LOC-Os02g32660
EVM0033423	LOC-Os08g02640
EVM0016127	LOC-Os01g07130
EVM0005964	LOC-Os05g24020
EVM0034050	LOC-Os10g33710
EVM0014007	LOC-Os07g46160
EVM0023121	LOC-Os01g46610
EVM0013932	LOC-Os03g57420
EVM0021203	LOC-Os03g55784
EVM0002913	LOC-Os02g49326
EVM0022178	LOC-Os02g13970
EVM0030867	LOC-Os09g36890
EVM0036464	LOC-Os01g56100
EVM0019168	LOC-Os01g14440
EVM0008908	LOC-Os03g04050
EVM0032199	LOC-Os10g42820
EVM0024746	LOC-Os10g33660
EVM0024138	LOC-Os06g01690
EVM0000199	LOC-Os06g06190
EVM0004490	LOC-Os05g45580
EVM0034007	LOC-Os03g59020
EVM0005196	LOC-Os06g01460
EVM0005470	LOC-Os06g35520
EVM0012755	LOC-Os02g42280
EVM0008399	LOC-Os12g43930
EVM0009786	LOC-Os06g02510
EVM0022936	LOC-Os09g21450
EVM0010863	LOC-Os01g22870
EVM0023447	LOC-Os08g40930
EVM0030561	LOC-Os10g21000
EVM0012521	LOC-Os05g31680
EVM0027628	LOC-Os10g33770
EVM0001437	LOC-Os08g40250
EVM0008979	LOC-Os02g54890
EVM0013369	LOC-Os03g25620
EVM0010242	LOC-Os01g60810
EVM0019846	LOC-Os05g04990
EVM0031248	LOC-Os01g69270
EVM0025746	LOC-Os06g49650
EVM0034240	LOC-Os01g26120
EVM0001109	LOC-Os12g14110
EVM0009127	LOC-Os02g38680
EVM0010393	LOC-Os01g41190
EVM0007677	LOC-Os06g49450
EVM0010817	LOC-Os12g42884
EVM0008041	LOC-Os08g01770
EVM0021167	LOC-Os07g01760
EVM0022733	LOC-Os02g37970
EVM0026313	LOC-Os08g34900
EVM0005619	LOC-Os08g27070
EVM0020290	LOC-Os05g05150
EVM0033976	LOC-Os12g05080
EVM0028042	LOC-Os02g32550
EVM0009451	LOC-Os11g32280
EVM0019289	LOC-Os01g57930
EVM0037169	LOC-Os07g43970
EVM0031857	LOC-Os12g27520
EVM0027413	LOC-Os04g49350
EVM0022160	LOC-Os12g39840
EVM0025571	LOC-Os01g12280
EVM0021529	LOC-Os06g08790
EVM0007143	LOC-Os04g14690
EVM0034463	LOC-Os10g11340
EVM0031082	LOC-Os12g32210
EVM0014191	LOC-Os01g68390
EVM0012536	LOC-Os07g47960
EVM0027005	LOC-Os03g63590
EVM0002821	LOC-Os07g39090
EVM0019888	LOC-Os03g06360
EVM0024622	LOC-Os01g72000
EVM0015442	LOC-Os04g02730
EVM0012463	LOC-Os01g01080
EVM0010483	LOC-Os02g04970
EVM0013882	LOC-Os01g65902
EVM0009300	LOC-Os11g05880
EVM0025855	LOC-Os11g16580
EVM0013523	LOC-Os01g14510
EVM0030806	LOC-Os10g34590
EVM0035437	LOC-Os07g42750
EVM0025438	LOC-Os05g51650
EVM0033909	LOC-Os01g09430
EVM0026176	LOC-Os02g53270
EVM0029331	LOC-Os09g15340
EVM0017470	LOC-Os05g50250
EVM0024133	LOC-Os04g39280
EVM0020795	LOC-Os03g45170
EVM0009284	LOC-Os12g13670
EVM0027751	LOC-Os03g56700
EVM0022754	LOC-Os08g34340
EVM0032983	LOC-Os07g41930
EVM0015880	LOC-Os01g42960
EVM0013701	LOC-Os07g39350
EVM0005059	LOC-Os01g43070
EVM0011214	LOC-Os01g36540
EVM0019574	LOC-Os07g44330
EVM0021928	LOC-Os09g25960
EVM0003412	LOC-Os03g61960
EVM0023421	LOC-Os07g33850
EVM0027039	LOC-Os04g34010
EVM0028061	LOC-Os11g32100
EVM0006030	LOC-Os09g38690
EVM0034685	LOC-Os03g25720
EVM0035997	LOC-Os07g46460
EVM0006641	LOC-Os01g72310
EVM0012967	LOC-Os03g44620
EVM0020257	LOC-Os04g01150
EVM0028449	LOC-Os08g24946
EVM0022377	LOC-Os02g38230
EVM0022283	LOC-Os02g26770
EVM0001237	LOC-Os02g43590
EVM0018665	LOC-Os07g04690
EVM0035215	LOC-Os05g30190
EVM0004137	LOC-Os04g59320
EVM0011937	LOC-Os05g48640
EVM0016500	LOC-Os01g14920
EVM0031119	LOC-Os05g32710
EVM0031677	LOC-Os04g51310
EVM0023354	LOC-Os08g35860
EVM0014250	LOC-Os07g08950
EVM0009477	LOC-Os04g24180
EVM0035243	LOC-Os08g23680
EVM0008481	LOC-Os01g61180
EVM0023234	LOC-Os05g33810
EVM0031219	LOC-Os08g45160
EVM0017346	LOC-Os04g52690
EVM0010587	LOC-Os01g59200
EVM0010598	LOC-Os08g38570
EVM0010456	LOC-Os01g05490
EVM0028759	LOC-Os02g02850
EVM0009280	LOC-Os09g36982
EVM0006276	LOC-Os04g57819
EVM0005654	LOC-Os06g01170
EVM0008742	LOC-Os01g08420
EVM0026944	LOC-Os04g58480
EVM0024184	LOC-Os06g35560
EVM0023977	LOC-Os09g36480
EVM0014311	LOC-Os12g04290
EVM0002262	LOC-Os01g41040
EVM0009418	LOC-Os02g30630
EVM0009083	LOC-Os12g37650
EVM0003108	LOC-Os07g23520
EVM0005027	LOC-Os06g06870
EVM0011325	LOC-Os09g10940
EVM0011461	LOC-Os06g41710
EVM0031316	LOC-Os03g53800
EVM0001377	LOC-Os03g03150
EVM0012393	LOC-Os06g50930
EVM0011412	LOC-Os01g48680
EVM0029323	LOC-Os09g31310
EVM0024775	LOC-Os02g52130
EVM0013200	LOC-Os07g37310
EVM0002545	LOC-Os01g54020
EVM0025035	LOC-Os02g50230
EVM0016724	LOC-Os01g55540
EVM0004646	LOC-Os07g48200
EVM0035491	LOC-Os01g37800
EVM0022947	LOC-Os03g10650
EVM0015527	LOC-Os03g13370
EVM0008146	LOC-Os08g18044
EVM0014962	LOC-Os06g39140
EVM0009423	LOC-Os05g43310
EVM0013364	LOC-Os01g50770
EVM0009736	LOC-Os11g07870
EVM0005705	LOC-Os01g04260
EVM0020623	LOC-Os04g43420
EVM0005666	LOC-Os05g50360
EVM0025214	LOC-Os08g23320
EVM0033913	LOC-Os03g60240
EVM0025646	LOC-Os05g02640
EVM0016766	LOC-Os06g46950
EVM0032238	LOC-Os12g42020
EVM0003324	LOC-Os03g08830
EVM0023940	LOC-Os04g33720
EVM0035857	LOC-Os01g54510
EVM0015344	LOC-Os03g55220
EVM0024131	LOC-Os05g37434
EVM0031570	LOC-Os02g02524
EVM0023652	LOC-Os12g34058
EVM0022539	LOC-Os01g01170
EVM0028390	LOC-Os05g49420
EVM0010882	LOC-Os12g26880
EVM0012878	LOC-Os10g24900
EVM0013582	LOC-Os02g35910
EVM0015785	LOC-Os02g52800
EVM0000402	LOC-Os03g01980
EVM0034536	LOC-Os09g12780
EVM0004551	LOC-Os08g05490
EVM0033982	LOC-Os09g23380
EVM0013534	LOC-Os11g04370
EVM0009428	LOC-Os05g32720
EVM0032212	LOC-Os03g58040
EVM0021509	LOC-Os06g40370
EVM0036047	LOC-Os07g27320
EVM0032896	LOC-Os04g58280
EVM0008067	LOC-Os06g47940
EVM0017107	LOC-Os03g21790
EVM0035424	LOC-Os12g10200
EVM0034345	LOC-Os03g56270
EVM0019389	LOC-Os10g41780
EVM0036379	LOC-Os12g06520
EVM0000024	LOC-Os03g44670
EVM0023179	LOC-Os01g12710
EVM0016321	LOC-Os05g19630
EVM0022981	LOC-Os03g52320
EVM0008219	LOC-Os04g46290
EVM0017022	LOC-Os12g41190
EVM0029958	LOC-Os10g32970
EVM0002213	LOC-Os11g01880
EVM0031771	LOC-Os04g02000
EVM0002637	LOC-Os08g15306
EVM0037185	LOC-Os02g43600
EVM0013368	LOC-Os03g12910
EVM0020577	LOC-Os07g43350
EVM0034780	LOC-Os02g35820
EVM0030022	LOC-Os01g01295
EVM0012261	LOC-Os05g08800
EVM0016311	LOC-Os07g46660
EVM0036443	LOC-Os09g38000
EVM0027298	LOC-Os03g11420
EVM0011874	LOC-Os03g38230
EVM0015934	LOC-Os06g03700
EVM0006167	LOC-Os03g01016
EVM0002514	LOC-Os03g53530
EVM0024226	LOC-Os03g03670
EVM0032112	LOC-Os02g03100
EVM0008913	LOC-Os02g53860
EVM0007971	LOC-Os03g04560
EVM0017103	LOC-Os03g29250
EVM0004912	LOC-Os09g35670
EVM0007670	LOC-Os11g05550
EVM0027601	LOC-Os05g06660
EVM0017790	LOC-Os05g43040
EVM0035052	LOC-Os05g15890
EVM0014115	LOC-Os03g45194
EVM0036045	LOC-Os01g19480
EVM0033886	LOC-Os03g63690
EVM0005494	LOC-Os04g52140
EVM0013941	LOC-Os03g44310
EVM0019273	LOC-Os02g49150
EVM0014554	LOC-Os08g02490
EVM0005972	LOC-Os02g05440
EVM0018831	LOC-Os05g49150
EVM0017077	LOC-Os03g01190
EVM0011066	LOC-Os09g31438
EVM0010910	LOC-Os02g50570
EVM0016141	LOC-Os08g31750
EVM0006292	LOC-Os02g01020
EVM0024659	LOC-Os06g50310
EVM0004177	LOC-Os09g23200
EVM0008198	LOC-Os06g38940
EVM0036843	LOC-Os08g37690
EVM0027017	LOC-Os07g23720
EVM0030129	LOC-Os03g62630
EVM0033729	LOC-Os01g19450
EVM0008753	LOC-Os12g40900
EVM0035163	LOC-Os11g18770
EVM0002164	LOC-Os03g16060
EVM0007842	LOC-Os03g13080
EVM0027273	LOC-Os09g20540
EVM0019788	LOC-Os01g11070
EVM0008254	LOC-Os04g59460
EVM0001407	LOC-Os03g36790
EVM0036861	LOC-Os04g45070
EVM0009511	LOC-Os09g30414
EVM0034766	LOC-Os03g10140
EVM0020001	LOC-Os05g49020
EVM0009385	LOC-Os04g37980
EVM0029259	LOC-Os10g12354
EVM0035097	LOC-Os01g67490
EVM0020590	LOC-Os10g42090
EVM0005502	LOC-Os05g41100
EVM0031713	LOC-Os07g47510
EVM0013563	LOC-Os06g02170
EVM0007877	LOC-Os07g46630
EVM0014121	LOC-Os03g59160
EVM0011363	LOC-Os01g47770
EVM0009427	LOC-Os03g08570
EVM0021829	LOC-Os01g42470
EVM0028796	LOC-Os09g39660
EVM0005035	LOC-Os02g51610
EVM0018026	LOC-Os06g22080
EVM0000244	LOC-Os01g69050
EVM0012765	LOC-Os03g60939
EVM0028334	LOC-Os03g15580
EVM0036207	LOC-Os03g24380
EVM0031629	LOC-Os03g17440
EVM0012663	LOC-Os06g45390
EVM0014514	LOC-Os04g02850
EVM0011840	LOC-Os01g60010
EVM0021515	LOC-Os01g13770
EVM0030066	LOC-Os01g72960
EVM0021341	LOC-Os09g02729
EVM0010449	LOC-Os12g01210
EVM0001320	LOC-Os03g62379
EVM0011351	LOC-Os10g41440
EVM0033613	LOC-Os06g16370
EVM0018801	LOC-Os08g41910
EVM0014743	LOC-Os06g05740
EVM0036642	LOC-Os05g18730
EVM0003223	LOC-Os04g41140
EVM0030963	LOC-Os03g19090
EVM0032275	LOC-Os12g38620
EVM0019501	LOC-Os12g32320
EVM0008912	LOC-Os03g15590
EVM0024135	LOC-Os01g61470
EVM0027058	LOC-Os01g16210
EVM0011733	LOC-Os10g36848
EVM0011719	LOC-Os12g27090
EVM0017226	LOC-Os05g05280
EVM0019470	LOC-Os01g63620
EVM0021287	LOC-Os05g48750
EVM0010708	LOC-Os05g34630
EVM0021365	LOC-Os09g19940
EVM0002751	LOC-Os04g39140
EVM0032857	LOC-Os04g35610
EVM0005992	LOC-Os11g29230
EVM0014598	LOC-Os06g44030
EVM0018922	LOC-Os10g41360
EVM0018855	LOC-Os02g09600
EVM0030422	LOC-Os11g39360
EVM0001825	LOC-Os03g05290
EVM0021940	LOC-Os03g53490
EVM0007561	LOC-Os01g57110
EVM0022545	LOC-Os01g17180
EVM0007492	LOC-Os02g57420
EVM0028430	LOC-Os05g01060
EVM0031238	LOC-Os04g40040
EVM0013023	LOC-Os02g21880
EVM0024759	LOC-Os01g43390
EVM0012331	LOC-Os12g01850
EVM0003022	LOC-Os04g54380
EVM0026163	LOC-Os04g45910
EVM0021654	LOC-Os01g46340
EVM0030435	LOC-Os08g25460
EVM0020363	LOC-Os03g15790
EVM0006379	LOC-Os05g49230
EVM0024647	LOC-Os04g57850
EVM0014874	LOC-Os04g44870
EVM0007282	LOC-Os03g53400
EVM0023483	LOC-Os06g02028
EVM0037355	LOC-Os12g03810
EVM0035873	LOC-Os06g50300
EVM0010866	LOC-Os01g37120
EVM0027290	LOC-Os04g46200
EVM0020982	LOC-Os09g17600
EVM0007722	LOC-Os01g03490
EVM0033346	LOC-Os10g38060
EVM0022985	LOC-Os01g74110
EVM0005408	LOC-Os01g35990
EVM0023768	LOC-Os06g28480
EVM0003292	LOC-Os04g47280
EVM0009905	LOC-Os08g01910
EVM0036537	LOC-Os12g42100
EVM0006568	LOC-Os01g13470
EVM0026265	LOC-Os05g35970
EVM0026779	LOC-Os01g70400
EVM0026899	LOC-Os07g11110
EVM0003023	LOC-Os04g34230
EVM0014688	LOC-Os01g48540
EVM0008183	LOC-Os01g22520
EVM0011470	LOC-Os10g41400
EVM0035291	LOC-Os09g36976
EVM0013027	LOC-Os02g58650
EVM0009544	LOC-Os04g40990
EVM0011079	LOC-Os05g05200
EVM0013987	LOC-Os09g26610
EVM0006043	LOC-Os09g31090
EVM0036591	LOC-Os06g43250
EVM0000323	LOC-Os02g46750
EVM0004690	LOC-Os12g42430
EVM0028517	LOC-Os03g02830
EVM0026431	LOC-Os04g55730
EVM0012258	LOC-Os07g48640
EVM0023962	LOC-Os06g51100
EVM0019619	LOC-Os12g08280
EVM0032023	LOC-Os10g33690
EVM0014889	LOC-Os08g23360
EVM0033439	LOC-Os04g54840
EVM0007956	LOC-Os04g13160
EVM0020211	LOC-Os02g42230
EVM0010665	LOC-Os06g29180
EVM0024937	LOC-Os05g49350
EVM0005749	LOC-Os04g32460
EVM0019321	LOC-Os04g51950
EVM0033866	LOC-Os01g51360
EVM0021171	LOC-Os08g33076
EVM0033231	LOC-Os02g52650
EVM0031419	LOC-Os03g02280
EVM0013761	LOC-Os09g29200
EVM0020081	LOC-Os01g72940
EVM0000635	LOC-Os09g19980
EVM0026256	LOC-Os09g26480
EVM0003397	LOC-Os10g38140
EVM0015328	LOC-Os04g45210
EVM0009159	LOC-Os04g51630
EVM0010291	LOC-Os11g03550
EVM0014519	LOC-Os10g41250
EVM0003652	LOC-Os08g44020
EVM0020254	LOC-Os05g30710
EVM0007661	LOC-Os06g50120
EVM0007578	LOC-Os10g27450
EVM0025310	LOC-Os04g10750
EVM0020765	LOC-Os05g31970
EVM0030069	LOC-Os05g28980
EVM0005258	LOC-Os06g10600
EVM0031185	LOC-Os01g52480
EVM0003361	LOC-Os11g09170
EVM0002005	LOC-Os09g24660
EVM0019001	LOC-Os11g48040
EVM0006182	LOC-Os09g28120
EVM0021795	LOC-Os05g02500
EVM0012070	LOC-Os02g38120
EVM0027503	LOC-Os03g57854
EVM0010799	LOC-Os07g40260
EVM0014578	LOC-Os10g02500
EVM0027891	LOC-Os08g04620
EVM0012422	LOC-Os01g69100
EVM0021249	LOC-Os03g27950
EVM0031920	LOC-Os08g10450
EVM0019607	LOC-Os05g14750
EVM0025689	LOC-Os02g21250
EVM0018091	LOC-Os04g59120
EVM0010551	LOC-Os06g47840
EVM0011723	LOC-Os01g42800
EVM0004583	LOC-Os01g68680
EVM0003138	LOC-Os01g33784
EVM0006592	LOC-Os04g24530
EVM0014222	LOC-Os11g03200
EVM0017315	LOC-Os07g39300
EVM0001562	LOC-Os10g33910
EVM0022987	LOC-Os02g49950
EVM0028054	LOC-Os03g40110
EVM0006313	LOC-Os03g25440
EVM0028432	LOC-Os05g08530
EVM0026003	LOC-Os07g14540
EVM0000565	LOC-Os03g21780
EVM0032911	LOC-Os08g38790
EVM0010098	LOC-Os01g72480
EVM0019882	LOC-Os03g31490
EVM0031400	LOC-Os02g58280
EVM0012512	LOC-Os03g53140
EVM0007713	LOC-Os02g50960
EVM0008014	LOC-Os05g23530
EVM0003491	LOC-Os10g42320
EVM0026877	LOC-Os12g40880
EVM0015786	LOC-Os02g52370
EVM0030871	LOC-Os01g18100
EVM0015559	LOC-Os03g21980
EVM0005655	LOC-Os08g29510
EVM0016756	LOC-Os02g44670
EVM0017196	LOC-Os10g30910
EVM0015576	LOC-Os01g48980
EVM0010112	LOC-Os10g21560
EVM0024522	LOC-Os03g14980
EVM0032225	LOC-Os07g42810
EVM0004911	LOC-Os12g04260
EVM0021356	LOC-Os11g42160
EVM0027901	LOC-Os03g24900
EVM0026333	LOC-Os09g29239
EVM0004338	LOC-Os09g18320
EVM0011700	LOC-Os05g44770
EVM0028056	LOC-Os09g01680
EVM0001551	LOC-Os07g09400
EVM0036621	LOC-Os10g42420
EVM0001996	LOC-Os06g24290
EVM0004784	LOC-Os08g40450
EVM0011039	LOC-Os07g38420
EVM0016732	LOC-Os10g04620
EVM0007568	LOC-Os06g07010
EVM0026393	LOC-Os07g09060
EVM0002100	LOC-Os05g40180
EVM0020075	LOC-Os12g35060
EVM0007957	LOC-Os07g04700
EVM0018704	LOC-Os01g22660
EVM0025446	LOC-Os02g50640
EVM0027263	LOC-Os01g65220
EVM0010686	LOC-Os04g44420
EVM0011772	LOC-Os11g03440
EVM0011294	LOC-Os06g16160
EVM0032785	LOC-Os10g33210
EVM0020659	LOC-Os02g56880
EVM0017552	LOC-Os04g57400
EVM0004258	LOC-Os06g02180
EVM0008491	LOC-Os03g15680
EVM0015905	LOC-Os06g05130
EVM0012262	LOC-Os09g38520
EVM0027025	LOC-Os11g04010
EVM0024725	LOC-Os11g01860
EVM0025259	LOC-Os11g36060
EVM0012361	LOC-Os04g56770
EVM0026409	LOC-Os03g05390
EVM0022048	LOC-Os08g04120
EVM0019315	LOC-Os02g58640
EVM0025648	LOC-Os08g08840
EVM0007473	LOC-Os04g24430
EVM0011787	LOC-Os02g17470
EVM0028023	LOC-Os02g45810
EVM0019391	LOC-Os09g36160
EVM0019762	LOC-Os11g32260
EVM0018384	LOC-Os05g01360
EVM0007007	LOC-Os05g13370
EVM0008584	LOC-Os04g40970
EVM0033227	LOC-Os07g27450
EVM0022464	LOC-Os08g31460
EVM0015032	LOC-Os04g08350
EVM0004769	LOC-Os03g60710
EVM0027938	LOC-Os12g15520
EVM0006401	LOC-Os03g20170
EVM0005231	LOC-Os09g14540
EVM0034465	LOC-Os03g47780
EVM0009555	LOC-Os05g13300
EVM0001731	LOC-Os02g54200
EVM0008345	LOC-Os02g48380
EVM0029803	LOC-Os04g53190
