EVM0000006	AT1G44760
EVM0007304	AT5G37630
EVM0007306	AT1G70280
EVM0007312	ATMG00270
EVM0007316	AT5G46850
EVM0007317	AT1G10950
EVM0007329	AT1G74050
EVM0007334	AT5G37820
EVM0007336	AT1G11200
EVM0007337	AT4G34710
EVM0007339	AT4G40080
EVM0007340	AT2G16250
EVM0007343	AT5G37720
EVM0007348	AT4G22160
EVM0007358	AT1G70840
EVM0007360	AT5G60760
EVM0007361	AT4G24560
EVM0007365	ATCG00720
EVM0007367	AT3G28700
EVM0007373	AT3G30380
EVM0007375	AT5G58860
EVM0007376	AT2G35880
EVM0007377	AT2G22070
EVM0007378	AT5G03280
EVM0007379	AT5G08170
EVM0007384	AT2G19770
EVM0007385	AT5G51790
EVM0007386	AT4G27600
EVM0007388	AT1G17120
EVM0007400	AT1G12410
EVM0007401	AT5G03330
EVM0007402	AT4G27420
EVM0007404	AT4G13400
EVM0007407	AT2G01340
EVM0007410	AT5G09450
EVM0007411	AT3G09430
EVM0007418	AT5G62710
EVM0007419	AT1G29680
EVM0007421	AT5G03415
EVM0007431	AT5G27560
EVM0007437	AT1G77550
EVM0007438	AT1G65020
EVM0007445	AT1G55915
EVM0007446	AT5G14180
EVM0007450	AT1G10520
EVM0007451	AT5G66200
EVM0007455	AT4G29100
EVM0007458	AT3G54260
EVM0007462	AT1G74040
EVM0007464	AT1G18370
EVM0007466	AT1G74630
EVM0007467	AT1G73890
EVM0007473	AT1G73370
EVM0007475	AT4G34270
EVM0007476	AT2G42620
EVM0007481	AT1G18450
EVM0007484	AT2G43760
EVM0007485	AT2G13440
EVM0007487	AT3G05120
EVM0007489	AT5G07590
EVM0007492	AT3G09830
EVM0007508	AT1G21550
EVM0007512	AT3G13200
EVM0007515	AT5G55640
EVM0007518	AT3G20780
EVM0007519	AT2G34357
EVM0007521	AT3G52890
EVM0007527	AT1G42440
EVM0007529	AT3G58640
EVM0007530	AT4G14310
EVM0007534	AT1G77020
EVM0007535	AT2G17080
EVM0007539	AT5G48500
EVM0007540	AT2G38710
EVM0007541	AT4G01140
EVM0007546	AT3G47340
EVM0007553	AT5G49150
EVM0007561	AT1G61140
EVM0007562	AT5G14930
EVM0007566	AT1G50720
EVM0007569	AT3G54390
EVM0007572	AT1G64520
EVM0007577	AT3G04260
EVM0007578	AT1G45110
EVM0007581	AT4G18690
EVM0007583	AT4G25030
EVM0007591	AT3G48190
EVM0007592	AT1G68220
EVM0007594	AT4G04955
EVM0007598	AT3G22590
EVM0007603	AT5G12320
EVM0007604	AT2G33835
EVM0007607	AT3G47640
EVM0007609	AT1G14990
EVM0007612	AT5G14870
EVM0007615	AT4G19650
EVM0007620	AT1G70160
EVM0007623	AT5G25540
EVM0007626	AT5G14030
EVM0007633	AT5G47680
EVM0007635	AT5G63710
EVM0007638	AT5G59980
EVM0007642	AT3G15040
EVM0007644	AT3G23510
EVM0007647	AT2G33450
EVM0007652	AT1G44910
EVM0007658	AT1G49320
EVM0007661	AT2G35190
EVM0007662	AT4G31115
EVM0007663	AT3G57040
EVM0007667	AT5G64500
EVM0007670	AT5G22390
EVM0007671	AT4G34830
EVM0007672	AT5G63440
EVM0007674	AT5G57010
EVM0007677	AT1G60460
EVM0007678	AT3G63440
EVM0007687	AT1G17210
EVM0007690	AT5G40990
EVM0007697	AT2G43370
EVM0007702	AT2G46090
EVM0007703	AT3G45620
EVM0007705	AT3G10140
EVM0007708	AT5G13780
EVM0007713	AT1G73590
EVM0007714	AT3G52080
EVM0007716	AT5G12260
EVM0007721	AT5G43330
EVM0007722	AT1G23000
EVM0007730	AT2G16800
EVM0007737	AT1G59940
EVM0007742	AT3G16770
EVM0007743	AT4G00290
EVM0007746	AT2G44740
EVM0007754	AT4G33270
EVM0007759	AT1G09030
EVM0007760	AT3G56380
EVM0007761	AT5G13230
EVM0007765	AT1G60420
EVM0007773	AT4G37650
EVM0007776	AT3G10190
EVM0007788	AT1G50840
EVM0007792	AT2G43280
EVM0007794	AT5G57970
EVM0007795	AT2G40820
EVM0007796	AT5G19990
EVM0007797	AT1G76320
EVM0007798	AT3G46780
EVM0007801	AT4G29490
EVM0007809	AT1G31440
EVM0007813	AT2G04030
EVM0007818	AT2G33680
EVM0007821	AT1G54920
EVM0007823	AT5G04760
EVM0007824	AT2G33720
EVM0007832	AT1G08250
EVM0007834	AT2G25280
EVM0007843	AT1G62390
EVM0007845	AT3G55480
EVM0007847	AT4G34760
EVM0007851	AT1G71190
EVM0007853	AT4G36050
EVM0007854	AT1G49880
EVM0007855	AT4G08940
EVM0007860	AT1G23340
EVM0007867	AT2G31410
EVM0007868	AT4G02670
EVM0007870	AT2G01830
EVM0007871	AT1G33470
EVM0007873	AT5G42920
EVM0007877	AT4G04880
EVM0007893	AT2G25310
EVM0007895	AT5G16870
EVM0007896	AT4G33070
EVM0007899	AT5G06740
EVM0007902	AT4G36210
EVM0007904	AT1G17690
EVM0007906	AT2G17020
EVM0007913	AT3G26670
EVM0007914	AT5G55970
EVM0007915	AT4G13560
EVM0007921	AT3G55410
EVM0007923	AT2G02910
EVM0007926	AT3G15650
EVM0007927	AT5G52840
EVM0007938	AT3G54826
EVM0007941	AT3G27170
EVM0007944	AT1G72180
EVM0007945	AT2G41970
EVM0007956	AT3G59230
EVM0007957	AT3G18100
EVM0007958	AT5G28780
EVM0007959	AT5G09380
EVM0007962	AT2G16530
EVM0007966	ATCG01100
EVM0007969	AT4G02330
EVM0007971	AT2G33420
EVM0007985	AT5G63010
EVM0007992	AT5G01590
EVM0007994	AT4G36130
EVM0007995	AT2G01440
EVM0007997	AT1G71850
EVM0007999	AT2G25620
EVM0008004	AT1G51310
EVM0008006	AT4G25050
EVM0008007	AT2G17530
EVM0008011	AT1G31070
EVM0008013	AT1G65820
EVM0008014	AT1G67780
EVM0008019	AT1G35830
EVM0008021	AT4G33480
EVM0008022	AT4G32940
EVM0008024	AT4G38470
EVM0008029	AT3G11660
EVM0008030	AT5G38380
EVM0008031	AT1G76730
EVM0008032	AT5G50280
EVM0008037	AT1G58220
EVM0008040	AT4G13650
EVM0008041	AT5G47840
EVM0008044	AT3G13235
EVM0008047	AT2G04865
EVM0008053	AT1G19140
EVM0008056	AT3G58830
EVM0008058	AT4G30210
EVM0008067	AT4G25910
EVM0008073	AT5G44450
EVM0008074	AT2G22620
EVM0008081	AT5G26010
EVM0008085	AT5G35180
EVM0008086	AT5G01090
EVM0008094	AT3G51830
EVM0008097	AT1G22660
EVM0008101	AT2G36570
EVM0008106	AT4G35660
EVM0008113	AT4G34950
EVM0008116	AT1G51130
EVM0008119	AT5G42670
EVM0008121	AT3G26060
EVM0008124	AT5G14450
EVM0008127	AT4G03000
EVM0008131	AT3G01390
EVM0008141	AT1G48540
EVM0008146	AT1G32400
EVM0008147	AT5G61430
EVM0008148	AT1G07400
EVM0008156	AT1G11820
EVM0008157	AT4G09140
EVM0008159	AT1G72650
EVM0008161	AT5G27930
EVM0008168	AT3G18850
EVM0008171	AT3G13410
EVM0008174	AT1G77120
EVM0008175	AT5G65165
EVM0008177	AT2G26920
EVM0008182	AT5G45960
EVM0008183	AT1G48030
EVM0008187	AT4G34700
EVM0008190	AT4G10020
EVM0008196	AT5G62480
EVM0008198	AT4G37880
EVM0008199	AT1G32710
EVM0008201	AT1G33810
EVM0008206	AT5G41315
EVM0008207	AT1G68400
EVM0008208	AT5G27650
EVM0008209	AT4G27270
EVM0008210	AT3G21060
EVM0008214	AT3G25700
EVM0008218	AT1G09570
EVM0008219	AT5G47310
EVM0008226	AT4G22300
EVM0008229	AT5G51940
EVM0008238	AT1G68360
EVM0008240	AT4G28070
EVM0008241	AT3G16190
EVM0008243	AT2G35900
EVM0008246	AT4G02820
EVM0008251	AT3G63410
EVM0008254	AT4G31160
EVM0008260	AT5G20520
EVM0008263	AT4G25370
EVM0008264	AT1G56440
EVM0008265	AT2G43820
EVM0008268	AT4G03400
EVM0008270	AT1G63370
EVM0008273	AT3G10080
EVM0008274	AT4G12590
EVM0008275	AT3G08920
EVM0008277	AT1G76390
EVM0008278	AT3G46540
EVM0008281	AT4G35580
EVM0008282	AT2G45150
EVM0008284	AT1G04870
EVM0008287	AT2G21350
EVM0008288	AT1G23800
EVM0008294	AT4G33500
EVM0008295	AT4G23330
EVM0008299	AT5G22090
EVM0008305	AT1G61850
EVM0008306	AT5G57810
EVM0008308	AT3G06500
EVM0008316	AT5G56200
EVM0008317	AT1G68720
EVM0008323	AT1G50640
EVM0008330	AT4G27460
EVM0008334	AT3G62360
EVM0008336	AT5G04440
EVM0008338	AT3G03890
EVM0008343	AT5G64290
EVM0008345	AT5G65950
EVM0008347	AT3G07565
EVM0008351	AT2G42260
EVM0008352	AT5G53480
EVM0008353	AT5G43940
EVM0008354	AT3G60680
EVM0008367	AT4G18760
EVM0008369	AT1G19340
EVM0008371	AT4G13150
EVM0008374	AT2G19730
EVM0008378	AT1G65590
EVM0008382	ATMG00210
EVM0008385	AT4G22758
EVM0008386	AT5G14150
EVM0008389	AT5G23050
EVM0008396	AT1G78950
EVM0008397	AT5G49110
EVM0008398	AT5G22820
EVM0008399	AT1G19310
EVM0008405	AT1G67230
EVM0008407	AT4G14710
EVM0008409	AT3G05500
EVM0008412	AT2G30933
EVM0008416	AT4G28500
EVM0008421	AT4G05120
EVM0008435	AT2G40950
EVM0008439	AT4G18550
EVM0008440	AT5G39890
EVM0008442	AT5G49700
EVM0008449	AT3G07030
EVM0008450	ATMG01275
EVM0008455	AT4G13630
EVM0008457	AT2G20830
EVM0008459	AT1G71260
EVM0008462	AT4G34940
EVM0008465	AT4G27120
EVM0008468	AT1G67400
EVM0008470	AT5G51750
EVM0008474	AT4G15020
EVM0008476	AT5G55560
EVM0008478	AT3G23370
EVM0008481	AT5G58430
EVM0008482	AT1G24100
EVM0008483	AT3G11040
EVM0008485	AT4G22580
EVM0008487	AT5G42690
EVM0008491	AT4G08250
EVM0008494	AT5G02710
EVM0008496	AT5G58000
EVM0008505	AT3G12630
EVM0008508	AT3G24350
EVM0008509	AT5G55230
EVM0008514	AT5G01740
EVM0008516	AT5G21050
EVM0008519	AT4G38160
EVM0008520	AT3G25920
EVM0008521	AT3G58610
EVM0008522	AT3G48250
EVM0008524	AT5G47020
EVM0008525	AT5G59250
EVM0008531	AT5G13930
EVM0008534	AT4G22880
EVM0008538	AT3G48210
EVM0008544	AT5G63190
EVM0008547	AT5G51140
EVM0008549	AT3G21190
EVM0008555	AT5G50650
EVM0008558	AT5G38830
EVM0008560	AT4G21490
EVM0008566	AT2G20050
EVM0008569	AT4G15420
EVM0008572	AT1G25280
EVM0008574	AT3G26900
EVM0008584	AT1G27880
EVM0008587	AT5G62640
EVM0008588	AT1G01140
EVM0008589	AT2G42700
EVM0008599	AT3G05680
EVM0008601	AT1G60660
EVM0008602	AT1G63270
EVM0008606	AT2G21470
EVM0008611	AT1G33500
EVM0008613	AT1G08520
EVM0008614	AT4G17920
EVM0008615	AT2G23070
EVM0008617	AT1G74350
EVM0008619	AT1G77800
EVM0008620	AT1G33811
EVM0008635	AT1G65420
EVM0008637	AT1G12330
EVM0008641	AT4G27810
EVM0008643	AT5G47635
EVM0008644	AT1G61150
EVM0008645	AT2G40690
EVM0008646	AT3G27320
EVM0008651	AT5G37490
EVM0008652	AT5G41210
EVM0008657	AT1G71090
EVM0008658	AT3G09250
EVM0008663	AT2G43990
EVM0008664	AT4G02880
EVM0008670	AT2G32800
EVM0008672	AT5G16850
EVM0008677	AT3G17090
EVM0008679	AT5G48340
EVM0008683	AT2G01140
EVM0008691	AT1G51965
EVM0008692	AT2G30440
EVM0008695	AT4G02260
EVM0008701	AT1G50740
EVM0008704	AT5G16610
EVM0008713	AT3G36659
EVM0008717	AT4G14000
EVM0008719	AT5G01310
EVM0008728	AT4G16535
EVM0008733	AT5G63460
EVM0008735	AT5G27395
EVM0008736	AT1G78915
EVM0008737	AT3G02260
EVM0008739	AT4G14870
EVM0008740	AT5G48640
EVM0008742	AT2G25660
EVM0008744	AT1G66910
EVM0008745	AT5G45330
EVM0008752	AT5G43600
EVM0008753	AT5G43700
EVM0008754	AT1G31650
EVM0008758	AT4G32060
EVM0008764	AT2G04940
EVM0008771	AT4G08920
EVM0008773	AT4G15570
EVM0008778	AT3G63540
EVM0008781	AT4G21240
EVM0008782	AT4G18160
EVM0008784	AT5G19790
EVM0008788	AT4G04790
EVM0008792	AT1G68390
EVM0008800	AT1G15215
EVM0008804	AT1G32520
EVM0008806	AT2G30350
EVM0008809	AT2G02850
EVM0008815	AT2G25220
EVM0008817	AT3G59980
EVM0008819	AT2G27550
EVM0008822	AT2G39970
EVM0008829	AT4G14890
EVM0008830	AT2G26770
EVM0008836	AT5G34850
EVM0008837	AT1G51580
EVM0008848	AT2G40730
EVM0008852	AT5G17210
EVM0008854	AT2G19800
EVM0008855	AT5G14050
EVM0008856	AT5G01470
EVM0008858	AT4G39460
EVM0008863	AT2G34970
EVM0008865	AT1G16290
EVM0008874	AT5G54890
EVM0008881	AT3G03860
EVM0008883	AT1G22790
EVM0008884	AT1G60995
EVM0008886	AT5G48545
EVM0008889	AT2G47830
EVM0008893	AT2G40360
EVM0008895	AT3G59060
EVM0008900	AT1G05520
EVM0008903	AT4G13460
EVM0008907	AT4G34430
EVM0008908	AT4G35230
EVM0008909	AT1G54100
EVM0008910	AT2G24800
EVM0008912	AT5G18110
EVM0008913	AT3G14067
EVM0008915	AT5G16130
EVM0008916	AT1G11430
EVM0008921	AT3G18790
EVM0008923	AT1G71210
EVM0008926	AT4G34140
EVM0008944	AT1G54320
EVM0008946	AT1G21830
EVM0008949	AT4G27950
EVM0008950	AT3G54840
EVM0008957	AT5G44180
EVM0008958	AT2G24120
EVM0008959	AT3G53940
EVM0008961	AT1G79660
EVM0008962	AT5G04430
EVM0008966	AT5G10790
EVM0008967	AT5G48300
EVM0008971	AT4G17180
EVM0008977	AT2G22140
EVM0008979	AT4G30440
EVM0008981	AT3G08010
EVM0008991	AT5G58260
EVM0009007	AT1G21680
EVM0009008	AT2G46240
EVM0009009	AT3G11210
EVM0009010	AT4G04020
EVM0009015	AT5G48930
EVM0009022	AT1G64000
EVM0009027	AT1G80940
EVM0009029	AT4G02250
EVM0009034	AT2G17570
EVM0009035	AT5G34940
EVM0009036	AT3G08840
EVM0009041	AT1G72510
EVM0009042	AT2G16485
EVM0009044	AT4G24290
EVM0009047	AT4G18950
EVM0009048	AT1G09000
EVM0009049	AT2G29640
EVM0009058	AT3G16310
EVM0009059	AT1G30690
EVM0009065	AT1G80460
EVM0009071	AT5G62850
EVM0009075	AT4G09810
EVM0009076	AT3G05690
EVM0009080	AT2G44810
EVM0009083	AT1G56580
EVM0009090	AT1G09810
EVM0009095	AT2G24100
EVM0009097	AT2G30880
EVM0009098	AT3G09920
EVM0009101	AT4G03110
EVM0009105	AT3G52590
EVM0009106	AT2G39980
EVM0009107	AT5G50260
EVM0009111	AT4G24040
EVM0009113	AT5G17570
EVM0009114	AT2G26250
EVM0009115	AT1G24620
EVM0009117	AT5G45580
EVM0009123	AT5G02810
EVM0009125	AT1G61040
EVM0009126	AT3G27310
EVM0009127	AT3G48470
EVM0009129	AT1G54730
EVM0009132	AT1G63930
EVM0009133	AT5G14720
EVM0009140	AT1G12790
EVM0009144	AT4G02425
EVM0009148	AT5G67360
EVM0009150	AT4G16440
EVM0009153	AT4G11560
EVM0009156	AT5G66010
EVM0009157	AT1G24610
EVM0009158	AT1G29820
EVM0009159	AT3G13580
EVM0009161	AT5G52545
EVM0009162	AT3G08550
EVM0009168	AT5G45275
EVM0009169	AT4G14200
EVM0009170	AT4G16580
EVM0009173	AT4G01970
EVM0009174	AT2G43130
EVM0009179	AT5G40530
EVM0009183	AT1G70590
EVM0009186	AT1G10880
EVM0009191	AT5G54380
EVM0009197	AT5G03406
EVM0009198	AT3G48770
EVM0009201	ATCG00480
EVM0009204	AT2G45030
EVM0009205	AT1G78830
EVM0009206	AT3G25070
EVM0009208	AT3G53470
EVM0009210	AT4G38510
EVM0009212	AT1G70570
EVM0009213	AT4G02570
EVM0009215	AT3G15930
EVM0009218	AT1G70610
EVM0009224	AT1G19025
EVM0009226	ATMG00090
EVM0009228	AT3G02320
EVM0009231	AT5G14660
EVM0009235	AT5G60230
EVM0009236	AT1G75270
EVM0009238	AT5G51460
EVM0009239	AT2G16950
EVM0009240	AT5G53350
EVM0009244	AT4G23630
EVM0009245	AT3G13080
EVM0009249	AT3G18890
EVM0009254	AT1G07430
EVM0009259	AT1G08410
EVM0009261	AT5G50320
EVM0009272	AT4G38630
EVM0009273	AT4G25700
EVM0009275	AT1G12900
EVM0009277	AT1G08315
EVM0009279	AT5G01750
EVM0009280	AT2G20940
EVM0009284	AT1G27850
EVM0009286	AT5G45120
EVM0009289	AT5G58270
EVM0009295	AT2G36650
EVM0009297	AT4G03260
EVM0009300	AT5G03540
EVM0009306	AT1G67320
EVM0009313	AT2G03500
EVM0009315	AT5G50130
EVM0009318	AT2G44140
EVM0009319	AT4G10320
EVM0009324	AT1G71120
EVM0009331	AT5G52190
EVM0009333	AT3G54750
EVM0009338	AT2G40120
EVM0009342	AT5G55960
EVM0009351	AT5G50930
EVM0009352	AT1G23530
EVM0009354	AT5G55600
EVM0009357	AT4G21190
EVM0009363	AT3G49710
EVM0009364	AT3G55330
EVM0009365	AT2G01110
EVM0009372	AT2G45910
EVM0009375	AT1G66810
EVM0009381	AT5G65820
EVM0009382	AT1G22620
EVM0009385	AT1G34580
EVM0009389	AT1G80280
EVM0009395	AT2G45320
EVM0009398	AT4G05180
EVM0009400	AT5G56750
EVM0009411	AT3G54210
EVM0009415	AT4G01070
EVM0009416	AT3G23810
EVM0009418	AT3G48560
EVM0009423	AT2G30570
EVM0009426	AT4G04180
EVM0009427	AT4G14210
EVM0009428	AT4G02900
EVM0009433	AT1G50900
EVM0009434	AT5G43950
EVM0009439	AT5G21940
EVM0009442	AT5G16520
EVM0009451	AT2G38130
EVM0009453	AT3G04820
EVM0009461	AT1G33780
EVM0009464	AT5G53390
EVM0009465	AT5G05940
EVM0009469	AT5G20410
EVM0009470	AT4G15830
EVM0009472	AT5G57390
EVM0009474	AT4G16070
EVM0009476	AT4G21960
EVM0009477	AT1G79940
EVM0009482	AT1G09700
EVM0009488	AT5G62530
EVM0009499	AT1G70190
EVM0009500	AT2G26280
EVM0009501	AT5G46580
EVM0009503	AT3G02680
EVM0009505	AT1G32240
EVM0009506	AT5G27380
EVM0009509	AT5G48440
EVM0009510	AT3G21350
EVM0009511	AT5G10770
EVM0009521	AT3G16050
EVM0009527	AT2G35920
EVM0009528	AT5G62410
EVM0009533	AT1G47960
EVM0009535	AT1G05170
EVM0009537	AT2G05990
EVM0009540	AT4G35110
EVM0009542	AT3G12300
EVM0009543	AT5G25160
EVM0009544	AT5G03860
EVM0009548	AT4G35510
EVM0009549	AT3G53360
EVM0009552	AT3G47810
EVM0009555	AT1G79890
EVM0009560	AT1G48440
EVM0009565	AT4G38520
EVM0009572	AT3G31402
EVM0009577	AT1G33110
EVM0009580	AT5G23910
EVM0009584	AT4G37020
EVM0009585	AT1G73040
EVM0009590	AT2G28120
EVM0009592	AT1G59720
EVM0009604	AT1G17620
EVM0009607	AT5G53220
EVM0009609	AT1G50490
EVM0009612	AT1G53400
EVM0009613	AT1G60860
EVM0009617	AT3G56110
EVM0009620	AT1G22130
EVM0009622	AT5G63540
EVM0009623	AT4G33600
EVM0009629	AT2G01710
EVM0009630	AT3G53380
EVM0009631	AT1G63440
EVM0009633	AT3G10110
EVM0009634	AT1G22060
EVM0009636	AT5G19450
EVM0009638	AT4G02600
EVM0009639	AT5G15410
EVM0009643	AT3G51820
EVM0009644	AT5G58720
EVM0009646	AT5G52260
EVM0009656	AT4G32660
EVM0009660	AT5G18390
EVM0009661	AT5G38300
EVM0009666	AT2G16700
EVM0009669	AT1G27000
EVM0009670	AT4G21700
EVM0009671	AT3G08910
EVM0009673	AT1G77840
EVM0009676	AT5G40840
EVM0009677	AT2G44950
EVM0009678	AT1G24110
EVM0009680	AT5G10030
EVM0009681	AT3G22950
EVM0009684	AT1G09450
EVM0009688	AT1G30270
EVM0009689	AT3G17205
EVM0009690	AT1G78690
EVM0009701	AT1G63490
EVM0009707	AT5G67460
EVM0009713	AT3G02690
EVM0009720	AT2G42130
EVM0009721	AT1G50120
EVM0009726	AT2G41870
EVM0009729	AT3G22960
EVM0009730	AT3G13460
EVM0009731	AT5G17990
EVM0009735	AT5G63110
EVM0009736	AT1G35530
EVM0009738	AT5G50390
EVM0009740	AT2G02870
EVM0009742	AT3G52390
EVM0009743	AT4G00800
EVM0009746	AT1G71460
EVM0009749	AT4G37510
EVM0009750	ATMG00513
EVM0009754	AT3G24050
EVM0009755	AT2G18910
EVM0009758	AT4G12760
EVM0009763	AT1G64860
EVM0009765	AT4G36910
EVM0009766	AT1G57680
EVM0009774	AT1G18610
EVM0009786	AT3G49010
EVM0009788	AT5G48520
EVM0009791	AT3G06840
EVM0009794	AT4G13590
EVM0009798	AT2G38040
EVM0009799	AT1G66670
EVM0009800	AT4G33420
EVM0009802	AT1G14750
EVM0009805	AT2G45220
EVM0009806	AT3G58550
EVM0009807	AT5G42750
EVM0009808	AT4G23850
EVM0009810	AT1G48320
EVM0009813	AT1G20430
EVM0009816	AT5G24260
EVM0009818	AT1G23180
EVM0009821	AT3G06720
EVM0009831	AT1G04030
EVM0009832	AT1G27680
EVM0009839	AT4G27220
EVM0009840	AT5G44800
EVM0009841	AT5G62700
EVM0009844	AT5G27430
EVM0009846	AT1G03840
EVM0009848	AT1G04080
EVM0009849	AT3G55160
EVM0009854	AT1G67720
EVM0009857	AT1G53210
EVM0009859	AT4G14330
EVM0009865	AT5G20260
EVM0009869	AT5G48660
EVM0009872	AT2G01260
EVM0009875	AT4G33510
EVM0009878	AT2G39760
EVM0009885	AT4G36420
EVM0009887	AT2G18410
EVM0009891	AT2G40660
EVM0009892	AT3G43610
EVM0009894	AT2G31040
EVM0009896	AT4G39210
EVM0009898	AT1G60640
EVM0009899	AT5G04250
EVM0009903	AT5G04240
EVM0009906	AT4G22900
EVM0009913	AT5G14910
EVM0009914	AT3G59500
EVM0009919	AT3G51780
EVM0009921	AT4G04780
EVM0009926	AT1G68940
EVM0009931	AT4G33030
EVM0009939	AT4G25660
EVM0009944	AT5G35100
EVM0009945	AT1G15870
EVM0009946	AT5G42350
EVM0009950	AT3G03610
EVM0009951	AT1G15690
EVM0009952	AT3G54280
EVM0009955	AT1G75220
EVM0009957	AT1G75390
EVM0009962	AT4G17895
EVM0009964	AT1G07170
EVM0009966	AT5G09590
EVM0009968	AT5G43900
EVM0009969	AT2G03200
EVM0009972	AT3G24170
EVM0009985	AT1G70000
EVM0009992	AT1G78240
EVM0009996	AT3G29310
EVM0009999	AT1G09600
EVM0010000	AT5G24340
EVM0010001	AT5G60800
EVM0010004	AT3G26600
EVM0010006	AT4G12680
EVM0010010	AT3G47160
EVM0010011	AT1G77320
EVM0010012	AT1G30320
EVM0010020	AT1G20830
EVM0010022	AT1G74020
EVM0010027	AT1G80570
EVM0010030	AT4G00550
EVM0010031	AT5G11780
EVM0010037	AT3G48195
EVM0010039	AT1G79810
EVM0010041	AT4G24680
EVM0010044	AT3G04130
EVM0010045	AT1G78020
EVM0010051	AT3G56720
EVM0010053	AT2G27690
EVM0010057	AT5G08550
EVM0010058	AT3G61130
EVM0010060	AT1G47240
EVM0010063	AT1G62440
EVM0010065	AT5G65280
EVM0010075	AT5G26230
EVM0010081	AT1G26170
EVM0010087	AT1G79910
EVM0010089	AT3G01590
EVM0010098	AT5G19430
EVM0010124	AT3G17810
EVM0010127	AT1G07120
EVM0010131	AT3G19000
EVM0010137	AT2G35230
EVM0010139	AT3G56150
EVM0010140	AT4G19670
EVM0010141	AT2G28390
EVM0010146	AT1G20180
EVM0010152	AT1G10270
EVM0010153	AT2G26640
EVM0010156	AT4G24270
EVM0010159	AT2G39710
EVM0010160	AT5G47400
EVM0010161	AT1G29670
EVM0010174	AT5G08290
EVM0010186	AT1G23420
EVM0010194	AT1G27600
EVM0010195	AT1G28280
EVM0010197	AT3G60410
EVM0010200	AT5G43710
EVM0010201	AT4G17810
EVM0010204	AT2G24765
EVM0010209	AT1G10330
EVM0010210	AT1G49760
EVM0010211	AT5G25757
EVM0010212	AT5G10060
EVM0010217	AT4G22680
EVM0010224	AT5G63920
EVM0010227	AT1G50660
EVM0010232	AT3G43920
EVM0010235	AT1G61800
EVM0010236	AT5G56730
EVM0010238	AT2G01300
EVM0010240	AT1G10522
EVM0010247	AT3G01060
EVM0010253	AT5G23530
EVM0010258	AT2G37030
EVM0010260	AT1G08640
EVM0010263	AT2G17990
EVM0010265	AT2G19450
EVM0010267	AT5G26710
EVM0010270	AT4G22010
EVM0010272	AT1G70770
EVM0010276	AT2G18330
EVM0010278	AT3G18490
EVM0010279	AT1G23110
EVM0010282	AT5G17390
EVM0010290	AT5G66130
EVM0010296	AT5G19590
EVM0010301	AT1G02560
EVM0010303	AT5G61930
EVM0010304	AT3G02200
EVM0010307	AT1G68760
EVM0010308	AT1G74250
EVM0010309	AT5G46400
EVM0010314	AT1G30825
EVM0010320	AT2G29130
EVM0010324	AT5G09550
EVM0010329	AT5G01520
EVM0010331	AT2G30050
EVM0010333	AT4G31580
EVM0010335	AT4G36790
EVM0010337	AT1G58330
EVM0010340	AT2G33793
EVM0010342	AT2G28710
EVM0010348	AT1G48090
EVM0010377	AT5G26250
EVM0010379	AT1G79690
EVM0010381	AT2G47490
EVM0010384	AT4G20130
EVM0010385	AT1G31230
EVM0010386	AT3G54720
EVM0010392	AT4G14570
EVM0010393	AT1G80000
EVM0010398	AT4G00755
EVM0010399	AT1G22750
EVM0010406	AT5G43310
EVM0010411	AT4G01037
EVM0010414	AT1G06750
EVM0010419	AT5G60670
EVM0010423	AT2G31440
EVM0010427	AT3G62260
EVM0010428	AT3G03140
EVM0010432	AT5G26760
EVM0010447	AT1G02145
EVM0010449	AT3G09650
EVM0010450	AT1G34350
EVM0010451	AT5G50700
EVM0010454	AT3G01360
EVM0010455	AT2G18990
EVM0010456	AT3G55440
EVM0010460	AT4G34860
EVM0010461	AT1G10460
EVM0010463	AT2G34710
EVM0010468	AT2G36230
EVM0010471	AT5G02970
EVM0010478	AT3G18524
EVM0010480	AT2G01490
EVM0010483	AT1G33410
EVM0010485	AT5G52910
EVM0010486	AT2G15530
EVM0010487	AT2G37680
EVM0010488	AT3G52380
EVM0010489	AT3G02090
EVM0010490	AT2G42910
EVM0010492	AT5G11810
EVM0010493	AT3G14000
EVM0010495	AT3G19170
EVM0010498	AT3G06030
EVM0010502	AT2G41370
EVM0010503	AT2G42750
EVM0010508	AT5G16420
EVM0010511	AT4G13550
EVM0010513	AT4G28020
EVM0010516	AT5G55670
EVM0010518	AT3G15380
EVM0010530	AT5G20130
EVM0010544	AT4G35930
EVM0010545	AT3G48090
EVM0010550	AT5G65550
EVM0010551	AT4G31420
EVM0010564	AT4G18220
EVM0010566	AT4G16340
EVM0010572	AT5G36170
EVM0010577	AT2G37550
EVM0010585	AT5G50640
EVM0010586	AT2G26600
EVM0010587	AT5G06990
EVM0010589	AT1G13290
EVM0010591	AT1G51610
EVM0010598	AT1G49540
EVM0010610	AT5G06160
EVM0010612	AT1G64700
EVM0010614	AT1G54500
EVM0010616	AT3G23590
EVM0010618	AT5G45290
EVM0010620	AT4G14340
EVM0010625	ATMG00980
EVM0010630	AT2G45050
EVM0010632	AT3G63010
EVM0010635	AT4G38120
EVM0010637	AT5G02040
EVM0010646	AT2G40010
EVM0010648	AT5G08430
EVM0010656	AT5G03650
EVM0010661	AT5G64080
EVM0010664	AT4G21440
EVM0010665	AT5G14780
EVM0010666	AT2G32030
