EVM0021012	GRMZM5G894156
EVM0014381	GRMZM2G015364
EVM0009849	GRMZM2G039671
EVM0017320	GRMZM2G149994
EVM0027777	GRMZM2G158281
EVM0023793	GRMZM2G703303
EVM0035514	GRMZM5G804358
EVM0016447	AC217271.3
EVM0033877	GRMZM2G312839
EVM0010447	GRMZM2G152194
EVM0021548	GRMZM2G166145
EVM0015772	GRMZM5G869196
EVM0021500	GRMZM2G067675
EVM0002557	GRMZM2G160304
EVM0017953	GRMZM2G418604
EVM0015172	GRMZM2G034404
EVM0004302	GRMZM2G066815
EVM0036528	GRMZM2G126507
EVM0003195	GRMZM2G056627
EVM0027841	GRMZM2G118731
EVM0007529	GRMZM2G080499
EVM0028132	GRMZM2G043212
EVM0002569	GRMZM2G139512
EVM0004874	GRMZM2G306028
EVM0004995	GRMZM2G029527
EVM0019426	GRMZM2G056908
EVM0034616	GRMZM2G120579
EVM0012709	GRMZM2G127134
EVM0000373	GRMZM2G017087
EVM0029717	GRMZM2G521844
EVM0015115	GRMZM2G100043
EVM0018869	GRMZM2G161004
EVM0026004	GRMZM2G057910
EVM0029140	GRMZM5G865769
EVM0008226	GRMZM2G064967
EVM0035437	GRMZM2G454176
EVM0027139	GRMZM2G003165
EVM0022182	GRMZM2G027166
EVM0027598	GRMZM2G351775
EVM0004390	GRMZM2G099056
EVM0033556	GRMZM2G098076
EVM0030795	GRMZM2G119248
EVM0016845	GRMZM2G097898
EVM0010881	GRMZM2G127949
EVM0000642	GRMZM2G165746
EVM0029831	GRMZM2G408706
EVM0011907	GRMZM2G015005
EVM0002095	GRMZM2G139760
EVM0010309	GRMZM2G008663
EVM0013598	GRMZM2G080247
EVM0024280	GRMZM2G178254
EVM0018296	GRMZM2G058398
EVM0003449	GRMZM2G141975
EVM0011023	GRMZM5G856436
EVM0001919	GRMZM2G052544
EVM0013040	GRMZM2G132057
EVM0016032	GRMZM2G134426
EVM0018037	GRMZM2G101687
EVM0014967	GRMZM2G097132
EVM0026501	GRMZM2G025992
EVM0017289	GRMZM2G048287
EVM0017601	GRMZM2G040401
EVM0011131	GRMZM2G046498
EVM0005416	GRMZM2G136830
EVM0024330	GRMZM2G112229
EVM0017484	GRMZM2G064133
EVM0019947	GRMZM2G013634
EVM0018280	GRMZM2G442244
EVM0031712	GRMZM2G106931
EVM0000618	GRMZM2G024657
EVM0022128	GRMZM2G022876
EVM0003956	GRMZM2G049288
EVM0035484	GRMZM2G350165
EVM0028430	GRMZM2G036206
EVM0028784	GRMZM2G106921
EVM0001335	AC210848.3
EVM0006349	GRMZM2G124718
EVM0020495	GRMZM2G091819
EVM0027282	GRMZM2G136293
EVM0016987	GRMZM2G000014
EVM0010127	AC206223.3
EVM0007958	GRMZM2G142672
EVM0029331	GRMZM2G031461
EVM0021099	GRMZM2G096962
EVM0033540	GRMZM2G072578
EVM0012730	GRMZM2G020653
EVM0012167	GRMZM2G080764
EVM0016433	GRMZM2G152793
EVM0005928	GRMZM2G068455
EVM0028807	GRMZM2G141353
EVM0021252	GRMZM2G072174
EVM0012743	GRMZM2G134389
EVM0024586	GRMZM2G133937
EVM0016894	GRMZM5G829955
EVM0036855	GRMZM5G838403
EVM0004291	GRMZM2G096252
EVM0034200	GRMZM2G117465
EVM0008281	GRMZM2G003715
EVM0004183	GRMZM2G147332
EVM0008854	GRMZM2G126900
EVM0008652	GRMZM2G077183
EVM0028580	GRMZM2G353779
EVM0026894	GRMZM2G473511
EVM0017640	GRMZM2G080116
EVM0000593	GRMZM2G002361
EVM0027657	GRMZM2G033671
EVM0005921	GRMZM2G411260
EVM0033271	GRMZM2G146115
EVM0004309	GRMZM2G133969
EVM0037023	GRMZM2G124975
EVM0011222	AC217358.3
EVM0018624	GRMZM2G073774
EVM0024581	GRMZM2G029077
EVM0003404	GRMZM2G315375
EVM0013204	GRMZM2G068755
EVM0020107	GRMZM2G057394
EVM0029886	GRMZM2G179002
EVM0030281	GRMZM5G871418
EVM0000824	GRMZM2G032376
EVM0033852	GRMZM2G067242
EVM0019942	GRMZM2G034855
EVM0019030	GRMZM2G071166
EVM0008288	GRMZM2G058675
EVM0010324	GRMZM2G084440
EVM0028575	GRMZM2G127015
EVM0026059	GRMZM2G455687
EVM0015464	GRMZM2G126839
EVM0012043	GRMZM2G410710
EVM0029189	GRMZM2G436710
EVM0003852	GRMZM2G162659
EVM0012478	GRMZM2G456023
EVM0018718	GRMZM2G107073
EVM0029491	GRMZM2G117100
EVM0017015	GRMZM2G048257
EVM0010468	GRMZM2G036543
EVM0025611	GRMZM2G047055
EVM0032715	GRMZM2G117238
EVM0032488	GRMZM2G003096
EVM0014818	GRMZM2G015040
EVM0003312	GRMZM2G319169
EVM0002244	GRMZM2G013342
EVM0025120	GRMZM2G132653
EVM0035276	GRMZM2G171807
EVM0013792	GRMZM2G087063
EVM0004706	GRMZM2G163247
EVM0006011	GRMZM2G177324
EVM0036214	GRMZM2G001551
EVM0011180	GRMZM2G052129
EVM0007765	GRMZM2G048324
EVM0020389	GRMZM2G104246
EVM0002859	GRMZM2G092981
EVM0008658	GRMZM2G128358
EVM0021793	GRMZM2G072573
EVM0011369	GRMZM2G003738
EVM0034007	GRMZM2G381744
EVM0007255	GRMZM2G162238
EVM0009418	GRMZM2G143008
EVM0032394	GRMZM2G030542
EVM0034426	GRMZM2G066440
EVM0025684	GRMZM2G371375
EVM0003848	GRMZM2G120987
EVM0013364	GRMZM2G436835
EVM0026041	GRMZM2G115304
EVM0029696	GRMZM2G059225
EVM0002732	GRMZM2G035477
EVM0012360	GRMZM2G077811
EVM0012978	GRMZM2G034005
EVM0031112	GRMZM2G177070
EVM0034904	GRMZM2G072156
EVM0022203	GRMZM2G049547
EVM0004338	GRMZM2G052178
EVM0033985	GRMZM2G022926
EVM0029749	GRMZM2G012416
EVM0027287	GRMZM2G120587
EVM0009380	GRMZM2G113480
EVM0012159	GRMZM5G858197
EVM0030053	GRMZM2G312201
EVM0001982	GRMZM2G046846
EVM0013886	GRMZM2G418415
EVM0030433	GRMZM2G334574
EVM0024343	GRMZM5G894619
EVM0004904	GRMZM2G079353
EVM0006250	GRMZM2G426229
EVM0031069	GRMZM2G038848
EVM0021449	GRMZM2G145958
EVM0020690	GRMZM2G165817
EVM0004488	GRMZM2G149843
EVM0037057	GRMZM2G033828
EVM0008483	GRMZM2G337616
EVM0000337	GRMZM2G005082
EVM0019504	GRMZM2G064663
EVM0013368	GRMZM2G091456
EVM0032254	GRMZM2G044237
EVM0029436	GRMZM2G442791
EVM0025312	GRMZM2G018579
EVM0014995	GRMZM2G180870
EVM0011629	GRMZM2G039011
EVM0026744	GRMZM2G011858
EVM0004130	GRMZM2G019183
EVM0017238	GRMZM2G103929
EVM0034456	GRMZM2G078933
EVM0017406	GRMZM2G026580
EVM0023056	GRMZM2G103070
EVM0021541	GRMZM2G088112
EVM0033430	GRMZM2G037778
EVM0008916	GRMZM2G003765
EVM0025584	GRMZM2G019538
EVM0021326	GRMZM2G041125
EVM0036475	GRMZM2G165815
EVM0029803	GRMZM2G000052
EVM0033920	GRMZM2G165844
EVM0016465	GRMZM2G025742
EVM0002436	GRMZM2G084515
EVM0004387	GRMZM2G121278
EVM0011363	GRMZM2G098857
EVM0031370	GRMZM2G153058
EVM0019822	GRMZM2G055107
EVM0017175	GRMZM2G024435
EVM0028686	GRMZM2G175563
EVM0032205	GRMZM2G117935
EVM0031191	GRMZM2G091916
EVM0018483	GRMZM2G119411
EVM0003285	GRMZM2G447455
EVM0006123	GRMZM5G864319
EVM0022187	GRMZM2G145715
EVM0034030	GRMZM2G180716
EVM0011392	GRMZM2G086779
EVM0036696	GRMZM2G056116
EVM0035368	GRMZM2G377341
EVM0019106	GRMZM2G129620
EVM0020659	GRMZM2G079013
EVM0006857	GRMZM2G116426
EVM0002879	GRMZM2G059428
EVM0033809	GRMZM2G140885
EVM0031801	GRMZM5G866734
EVM0018410	GRMZM2G158645
EVM0034741	GRMZM2G056403
EVM0026675	GRMZM2G329999
EVM0020727	GRMZM2G099160
EVM0012182	GRMZM2G005163
EVM0018313	GRMZM2G047457
EVM0013633	GRMZM2G051677
EVM0004833	GRMZM2G097103
EVM0021038	GRMZM2G023037
EVM0030974	AC233853.1
EVM0031771	GRMZM2G149698
EVM0001527	GRMZM2G310069
EVM0027361	GRMZM2G110220
EVM0016617	GRMZM2G036427
EVM0011376	GRMZM2G073465
EVM0025357	GRMZM5G833747
EVM0015474	GRMZM2G180691
EVM0035626	GRMZM2G134234
EVM0030372	GRMZM2G017368
EVM0016639	GRMZM2G387837
EVM0024687	GRMZM2G378452
EVM0000818	GRMZM2G041328
EVM0009631	GRMZM2G143512
EVM0015399	GRMZM2G124091
EVM0024082	GRMZM5G851130
EVM0004784	GRMZM2G046503
EVM0027290	GRMZM2G337229
EVM0033356	GRMZM2G332843
EVM0023937	GRMZM2G001653
EVM0033533	GRMZM2G443715
EVM0028780	GRMZM2G084576
EVM0027052	GRMZM2G423027
EVM0022206	GRMZM2G460988
EVM0029748	GRMZM2G181227
EVM0032136	GRMZM2G038532
EVM0033756	GRMZM2G085587
EVM0013383	GRMZM2G108085
EVM0026880	GRMZM2G075023
EVM0014246	GRMZM2G028467
EVM0013907	GRMZM2G102499
EVM0032341	GRMZM2G047954
EVM0025009	GRMZM2G171365
EVM0015082	GRMZM2G156068
EVM0017157	GRMZM2G158839
EVM0032208	GRMZM2G128171
EVM0013512	GRMZM2G410479
EVM0001095	GRMZM2G077420
EVM0018713	GRMZM2G077131
EVM0030706	GRMZM2G020766
EVM0018568	GRMZM2G099907
EVM0022995	GRMZM2G159711
EVM0015927	GRMZM2G178571
EVM0021741	GRMZM2G173654
EVM0006794	GRMZM2G007372
EVM0001426	GRMZM2G439311
EVM0008908	GRMZM2G127050
EVM0002415	GRMZM2G145088
EVM0029077	GRMZM2G131723
EVM0033314	GRMZM2G180620
EVM0036663	GRMZM2G474798
EVM0008022	GRMZM2G093032
EVM0020906	GRMZM2G085600
EVM0024541	GRMZM2G414826
EVM0036843	GRMZM2G023791
EVM0007997	GRMZM2G027991
EVM0002135	GRMZM2G010762
EVM0028390	GRMZM2G011932
EVM0023643	GRMZM5G893343
EVM0002284	GRMZM2G096596
EVM0008368	GRMZM2G177878
EVM0008979	GRMZM2G110558
EVM0028216	GRMZM5G851051
EVM0025431	GRMZM2G008854
EVM0004505	GRMZM2G393742
EVM0007572	GRMZM2G121452
EVM0014007	GRMZM2G148213
EVM0006121	GRMZM2G101523
EVM0006068	GRMZM2G382104
EVM0033214	GRMZM2G026869
EVM0005759	GRMZM2G036134
EVM0008146	GRMZM2G049422
EVM0004168	AC201815.4
EVM0022638	GRMZM2G077320
EVM0007795	GRMZM2G310115
EVM0012951	GRMZM2G083813
EVM0021400	GRMZM2G048281
EVM0022883	GRMZM2G016382
EVM0024177	GRMZM2G404126
EVM0018390	GRMZM2G089803
EVM0002789	GRMZM2G039325
EVM0027095	GRMZM2G143235
EVM0002003	GRMZM2G010105
EVM0011924	GRMZM2G379286
EVM0025544	GRMZM6G832911
EVM0025742	GRMZM2G357923
EVM0011724	GRMZM2G115013
EVM0012884	GRMZM2G002276
EVM0013135	GRMZM2G060160
EVM0023193	AC203841.3
EVM0022001	GRMZM2G119383
EVM0036699	GRMZM2G145666
EVM0002589	GRMZM2G089159
EVM0029992	GRMZM2G035268
EVM0001017	GRMZM2G012224
EVM0011306	GRMZM2G075651
EVM0031881	GRMZM2G014813
EVM0010379	GRMZM2G032163
EVM0028366	GRMZM2G022298
EVM0035770	GRMZM2G136412
EVM0005168	GRMZM2G050765
EVM0029447	GRMZM2G012393
EVM0012578	GRMZM2G002128
EVM0016113	GRMZM2G104608
EVM0034978	GRMZM2G331032
EVM0012556	GRMZM2G063868
EVM0019266	GRMZM2G139441
EVM0027711	GRMZM2G044343
EVM0011413	GRMZM2G383841
EVM0007697	GRMZM2G301536
EVM0020244	GRMZM2G461356
EVM0008330	GRMZM2G032648
EVM0036926	GRMZM5G821639
EVM0011723	GRMZM2G001296
EVM0007713	GRMZM2G098643
EVM0000357	GRMZM2G171408
EVM0036645	GRMZM2G347056
EVM0021877	GRMZM2G095287
EVM0035880	GRMZM2G432644
EVM0033690	GRMZM2G115975
EVM0021865	GRMZM2G059314
EVM0003395	GRMZM2G172529
EVM0028929	GRMZM2G114444
EVM0012570	AC209242.3
EVM0024392	GRMZM2G153615
EVM0005353	GRMZM2G018441
EVM0002837	GRMZM2G090869
EVM0004439	GRMZM2G029514
EVM0023714	GRMZM2G024389
EVM0004521	GRMZM5G819523
EVM0005298	GRMZM2G165390
EVM0010461	GRMZM2G016443
EVM0018709	GRMZM2G119890
EVM0018076	GRMZM2G016866
EVM0008426	GRMZM2G107199
EVM0013665	GRMZM2G037624
EVM0002331	GRMZM2G095562
EVM0003864	GRMZM2G455128
EVM0014351	GRMZM2G168170
EVM0016000	GRMZM2G003530
EVM0002353	GRMZM2G417963
EVM0007143	GRMZM2G053315
EVM0023711	GRMZM2G388539
EVM0004415	GRMZM2G045596
EVM0006330	GRMZM2G176489
EVM0017664	GRMZM2G174343
EVM0027329	GRMZM2G416667
EVM0003247	GRMZM2G050649
EVM0022211	GRMZM2G056081
EVM0020276	GRMZM2G126266
EVM0021418	GRMZM2G047918
EVM0017335	GRMZM2G155943
EVM0021456	GRMZM2G004057
EVM0014403	GRMZM2G093945
EVM0030883	GRMZM2G129913
EVM0009259	GRMZM2G028900
EVM0009273	GRMZM2G164318
EVM0020028	GRMZM2G319435
EVM0027009	GRMZM2G408096
EVM0011746	GRMZM2G113995
EVM0001041	GRMZM2G086236
EVM0031303	GRMZM2G469747
EVM0020256	GRMZM2G347836
EVM0022432	GRMZM2G165433
EVM0009681	GRMZM2G049055
EVM0018216	GRMZM2G019863
EVM0022160	GRMZM2G362306
EVM0005381	GRMZM2G118497
EVM0023992	GRMZM2G099363
EVM0012301	GRMZM2G026926
EVM0009848	GRMZM2G178294
EVM0017215	GRMZM2G084863
EVM0004154	GRMZM2G006964
EVM0015233	GRMZM2G147288
EVM0016236	GRMZM2G138053
EVM0004114	GRMZM2G704475
EVM0015744	GRMZM2G030235
EVM0005618	GRMZM2G070978
EVM0027998	GRMZM2G077531
EVM0035704	GRMZM2G101945
EVM0027383	GRMZM2G316534
EVM0030498	GRMZM2G028830
EVM0023557	GRMZM2G078440
EVM0029082	GRMZM2G181453
EVM0015103	GRMZM2G162786
EVM0009400	GRMZM2G413857
EVM0014539	GRMZM2G034410
EVM0014126	GRMZM2G085573
EVM0011388	GRMZM2G063679
EVM0028087	GRMZM2G037627
EVM0016468	GRMZM2G111579
EVM0028544	GRMZM2G158562
EVM0037036	GRMZM2G390345
EVM0033802	GRMZM2G122261
EVM0017613	GRMZM2G071119
EVM0037021	GRMZM2G114137
EVM0011412	GRMZM2G080767
EVM0017376	GRMZM2G150827
EVM0036996	GRMZM2G156206
EVM0020685	GRMZM5G856881
EVM0033279	GRMZM2G131243
EVM0004092	GRMZM2G121494
EVM0010874	GRMZM2G030165
EVM0019323	GRMZM2G130287
EVM0032738	GRMZM2G460860
EVM0007921	GRMZM2G142863
EVM0022048	GRMZM2G400135
EVM0027403	GRMZM2G079468
EVM0009721	GRMZM2G009994
EVM0015263	GRMZM2G102548
EVM0027360	GRMZM2G477314
EVM0001802	GRMZM2G173124
EVM0024797	GRMZM2G344924
EVM0009218	GRMZM2G432390
EVM0029892	GRMZM2G132461
EVM0005119	GRMZM2G162992
EVM0022983	GRMZM2G018837
EVM0035192	GRMZM6G208469
EVM0026938	GRMZM2G120302
EVM0009228	GRMZM2G109885
EVM0021981	GRMZM2G161780
EVM0024880	GRMZM2G074015
EVM0007505	GRMZM2G026881
EVM0024357	GRMZM5G889052
EVM0033183	GRMZM2G108166
EVM0005109	GRMZM2G062354
EVM0011573	GRMZM2G093603
EVM0020713	GRMZM2G153928
EVM0018555	GRMZM2G325907
EVM0028559	GRMZM2G096010
EVM0020919	GRMZM2G061745
EVM0019920	GRMZM5G805627
EVM0022791	GRMZM2G073551
EVM0032027	GRMZM2G162840
EVM0021193	GRMZM2G009353
EVM0000878	GRMZM2G153792
EVM0028377	GRMZM2G171716
EVM0005532	GRMZM5G803433
EVM0008773	GRMZM2G171961
EVM0012309	GRMZM2G391596
EVM0034748	GRMZM2G150374
EVM0015780	GRMZM2G043501
EVM0020411	GRMZM2G153797
EVM0011645	GRMZM2G110299
EVM0013905	GRMZM2G169782
EVM0036379	GRMZM5G821024
EVM0001822	GRMZM2G324276
EVM0009027	GRMZM2G119769
EVM0010762	GRMZM2G148090
EVM0008050	GRMZM6G654251
EVM0011779	GRMZM2G049269
EVM0036912	GRMZM2G022275
EVM0023717	GRMZM2G305007
EVM0013626	GRMZM2G038394
EVM0035603	GRMZM2G040924
EVM0007367	GRMZM2G086052
EVM0007268	GRMZM2G406553
EVM0012186	GRMZM2G100920
EVM0013228	GRMZM2G119117
EVM0001105	GRMZM2G159890
EVM0023154	GRMZM2G096106
EVM0020355	GRMZM2G011592
EVM0021143	GRMZM2G124563
EVM0017529	GRMZM2G062179
EVM0037258	GRMZM2G141632
EVM0012325	GRMZM2G071877
EVM0026931	GRMZM2G174830
EVM0030462	GRMZM2G109509
EVM0001324	GRMZM2G123987
EVM0026229	GRMZM2G157354
EVM0013473	GRMZM2G005791
EVM0020491	GRMZM2G124209
EVM0015523	GRMZM2G104357
EVM0019014	GRMZM2G475897
EVM0035883	GRMZM2G126552
EVM0000930	GRMZM2G047204
EVM0006667	GRMZM2G014832
EVM0003914	GRMZM2G368838
EVM0032552	GRMZM2G178595
EVM0011336	GRMZM2G139837
EVM0025933	GRMZM2G360698
EVM0016710	GRMZM2G119736
EVM0022551	GRMZM2G056252
EVM0000683	GRMZM2G164277
EVM0026848	AC234203.1
EVM0003382	GRMZM2G068382
EVM0017501	GRMZM2G318010
EVM0029434	GRMZM2G126582
EVM0010903	GRMZM2G085678
EVM0009133	GRMZM2G351074
EVM0036546	GRMZM2G064106
EVM0001003	GRMZM2G161435
EVM0016455	GRMZM2G116846
EVM0018444	GRMZM2G020676
EVM0000598	GRMZM2G104847
EVM0005867	GRMZM5G844629
EVM0017397	GRMZM2G107289
EVM0015259	GRMZM2G008665
EVM0034461	GRMZM2G127668
EVM0036999	GRMZM2G174696
EVM0031702	GRMZM2G017586
EVM0036838	GRMZM2G121790
EVM0000822	GRMZM2G010884
EVM0028447	GRMZM2G106427
EVM0021017	GRMZM2G140082
EVM0007969	GRMZM2G128682
EVM0021517	GRMZM2G116079
EVM0016757	AC217887.3
EVM0019989	GRMZM2G119339
EVM0011763	GRMZM2G105004
EVM0016439	GRMZM2G392710
EVM0021147	GRMZM2G057820
EVM0001109	GRMZM5G878970
EVM0030507	GRMZM2G434317
EVM0019034	GRMZM2G028766
EVM0035737	GRMZM2G346837
EVM0005806	GRMZM2G062165
EVM0030735	GRMZM2G060511
EVM0001347	GRMZM2G057251
EVM0008094	GRMZM2G047894
EVM0021249	GRMZM2G104676
EVM0017228	GRMZM2G111269
EVM0016625	GRMZM2G072322
EVM0002781	GRMZM2G017269
EVM0016868	GRMZM2G308707
EVM0026682	GRMZM2G300841
EVM0000058	GRMZM2G448142
EVM0017627	GRMZM2G059266
EVM0011920	GRMZM2G059891
EVM0018121	GRMZM2G171324
EVM0002165	GRMZM2G028335
EVM0003093	GRMZM2G137868
EVM0033595	GRMZM2G145473
EVM0002232	GRMZM2G073023
EVM0006559	GRMZM2G039978
EVM0008042	GRMZM5G812774
EVM0008210	GRMZM5G896834
EVM0009399	GRMZM2G165919
EVM0024771	GRMZM2G084885
EVM0013266	GRMZM2G009091
EVM0011232	GRMZM2G071996
EVM0015418	GRMZM2G031213
EVM0028740	GRMZM2G041645
EVM0015950	GRMZM2G019689
EVM0014889	GRMZM2G121022
EVM0029462	GRMZM2G107499
EVM0035812	AC206638.3
EVM0023313	GRMZM2G072584
EVM0007569	GRMZM2G153575
EVM0017202	GRMZM2G323936
EVM0015129	GRMZM2G035809
EVM0028000	GRMZM2G152179
EVM0026884	GRMZM2G166767
EVM0009962	GRMZM2G091069
EVM0018450	AC198418.3
EVM0013034	GRMZM2G128477
EVM0012040	GRMZM2G057942
EVM0003704	GRMZM5G874478
EVM0015413	GRMZM2G031954
EVM0031461	GRMZM2G133048
EVM0034396	GRMZM2G475360
EVM0008521	GRMZM2G004382
EVM0001484	GRMZM2G126572
EVM0028023	GRMZM2G058292
EVM0019441	GRMZM2G056849
EVM0014739	GRMZM2G098957
EVM0023254	GRMZM2G048851
EVM0008273	GRMZM2G115491
EVM0030990	GRMZM2G418752
EVM0022098	GRMZM2G001334
EVM0030948	GRMZM2G001812
EVM0005281	GRMZM2G072210
EVM0018485	GRMZM2G016503
EVM0025600	GRMZM2G131443
EVM0006534	GRMZM2G032766
EVM0004422	GRMZM2G079257
EVM0025127	GRMZM2G004298
EVM0035162	GRMZM2G002687
EVM0029839	GRMZM2G054139
EVM0005830	GRMZM2G133986
EVM0014848	GRMZM2G055135
EVM0035130	GRMZM2G057529
EVM0007603	GRMZM2G031298
EVM0030124	AC197699.3
EVM0032955	GRMZM2G128807
EVM0037339	GRMZM2G046407
EVM0012480	GRMZM2G135256
EVM0037108	GRMZM2G005024
EVM0033292	GRMZM2G461793
EVM0033224	GRMZM2G040702
EVM0005497	GRMZM2G162699
EVM0008159	GRMZM2G049194
EVM0034047	GRMZM2G173192
EVM0008907	GRMZM2G047038
EVM0029634	GRMZM2G066024
EVM0025458	GRMZM2G138103
EVM0025377	GRMZM2G028151
EVM0030555	GRMZM2G129700
EVM0030859	GRMZM2G146012
EVM0022887	GRMZM2G137968
EVM0023560	GRMZM2G040513
EVM0007098	GRMZM2G137286
EVM0036059	GRMZM2G408598
EVM0020926	GRMZM2G074790
EVM0030444	GRMZM2G055527
EVM0002854	GRMZM2G149272
EVM0031111	GRMZM2G484880
EVM0027424	GRMZM2G154864
EVM0001222	GRMZM2G155323
EVM0028610	GRMZM2G109070
EVM0004873	GRMZM2G117531
EVM0017130	AC214119.3
EVM0022701	GRMZM2G068665
EVM0009565	GRMZM2G069970
EVM0030268	GRMZM2G390896
EVM0016853	GRMZM2G092107
EVM0017792	GRMZM2G057698
EVM0036531	GRMZM2G391936
EVM0021352	GRMZM2G020920
EVM0024311	GRMZM2G146118
EVM0007578	GRMZM2G035594
EVM0012754	GRMZM2G086132
EVM0024667	GRMZM2G397675
EVM0036512	GRMZM2G013987
EVM0033021	GRMZM2G342539
EVM0011983	GRMZM2G149286
EVM0034672	GRMZM2G180086
EVM0013583	GRMZM2G106792
EVM0027584	GRMZM2G138131
EVM0027042	GRMZM2G140991
EVM0003622	GRMZM2G068059
EVM0005794	GRMZM2G320307
EVM0001215	GRMZM2G094072
EVM0002675	GRMZM2G030873
EVM0024901	GRMZM2G064767
EVM0014907	AC187157.4
EVM0004409	GRMZM2G115342
EVM0009306	GRMZM2G044317
EVM0012536	GRMZM2G043493
EVM0031744	GRMZM2G054509
EVM0006738	GRMZM2G031496
EVM0018419	GRMZM2G068316
EVM0021502	GRMZM2G162798
EVM0019500	GRMZM2G179292
EVM0013459	GRMZM2G181018
EVM0031857	GRMZM2G179308
EVM0006137	GRMZM2G366873
EVM0010729	GRMZM2G160958
EVM0022277	GRMZM2G074687
EVM0016884	GRMZM2G138407
EVM0016278	GRMZM2G056645
EVM0010492	GRMZM2G054706
EVM0013214	GRMZM2G164669
EVM0020842	GRMZM5G805134
EVM0016751	GRMZM2G142751
EVM0015238	GRMZM2G309035
EVM0003095	GRMZM2G085260
EVM0009684	GRMZM2G102944
EVM0032832	GRMZM2G017624
EVM0034754	GRMZM2G063048
EVM0030905	GRMZM2G062425
EVM0028428	GRMZM2G420055
EVM0020368	GRMZM2G371670
EVM0005901	GRMZM5G847530
EVM0031850	GRMZM2G031177
EVM0033592	GRMZM2G044023
EVM0000313	GRMZM2G130302
EVM0008574	GRMZM2G119249
EVM0028876	GRMZM2G159996
EVM0037348	GRMZM2G110328
EVM0027292	GRMZM2G141596
EVM0024715	GRMZM2G176662
EVM0025390	GRMZM2G092429
EVM0026571	GRMZM2G177224
EVM0035856	GRMZM2G019121
EVM0002961	GRMZM2G167247
EVM0030600	GRMZM2G110076
EVM0016294	GRMZM2G142168
EVM0035026	GRMZM2G139834
EVM0000957	GRMZM2G035131
EVM0031670	GRMZM5G825515
EVM0013123	GRMZM2G000566
EVM0035483	GRMZM2G046849
EVM0031570	GRMZM2G150193
EVM0007489	GRMZM2G374969
EVM0006315	GRMZM2G166946
EVM0006394	GRMZM5G879116
EVM0013096	GRMZM5G807054
EVM0005336	GRMZM2G022192
EVM0033003	GRMZM2G132756
EVM0020709	GRMZM2G095308
EVM0021601	GRMZM2G554962
EVM0019656	GRMZM2G017853
EVM0017146	GRMZM2G142266
EVM0024944	GRMZM2G071147
EVM0023383	GRMZM2G041518
EVM0033163	GRMZM2G145236
EVM0012174	GRMZM2G088753
EVM0010209	GRMZM2G480380
EVM0012046	GRMZM2G166855
EVM0014893	GRMZM2G017365
EVM0036284	GRMZM2G354373
EVM0009254	GRMZM2G059453
EVM0029995	GRMZM2G390221
EVM0002370	GRMZM2G173428
EVM0013618	GRMZM2G034551
EVM0008388	GRMZM2G018760
EVM0012831	GRMZM2G078143
EVM0020081	GRMZM2G133885
EVM0000368	GRMZM2G135790
EVM0028486	GRMZM2G478621
EVM0015590	GRMZM2G126865
EVM0013581	GRMZM2G107089
EVM0013793	GRMZM2G076631
EVM0023888	GRMZM2G012119
EVM0023760	GRMZM2G347956
EVM0034667	GRMZM2G340534
EVM0011617	GRMZM2G132958
EVM0000568	GRMZM2G000909
EVM0031250	GRMZM2G151414
EVM0029629	GRMZM2G044531
EVM0035983	GRMZM2G109165
EVM0029693	GRMZM2G005260
EVM0002748	GRMZM2G011491
EVM0032708	GRMZM2G015709
EVM0005413	GRMZM2G123014
EVM0003884	GRMZM2G006234
EVM0012789	GRMZM2G129540
EVM0023724	GRMZM5G857087
EVM0002788	GRMZM2G443447
EVM0004490	GRMZM2G044797
EVM0000025	GRMZM2G147955
EVM0000063	GRMZM2G092284
EVM0016147	GRMZM2G169548
EVM0034154	GRMZM2G028889
EVM0022904	GRMZM2G077299
EVM0023599	GRMZM2G093325
EVM0022010	GRMZM2G469409
EVM0004912	GRMZM2G083732
EVM0017235	GRMZM2G124502
EVM0027513	GRMZM2G101053
EVM0026661	GRMZM2G137211
EVM0000342	GRMZM2G006085
EVM0002389	GRMZM2G123876
EVM0001192	GRMZM2G414496
EVM0022688	GRMZM2G091900
EVM0028382	GRMZM2G025882
EVM0033835	GRMZM2G141081
EVM0006307	GRMZM2G140160
EVM0023022	GRMZM2G096240
EVM0011179	GRMZM2G068789
EVM0020205	GRMZM2G116086
EVM0017843	GRMZM2G425986
EVM0028161	GRMZM2G066456
EVM0019588	GRMZM2G157369
EVM0007581	GRMZM2G446220
EVM0013348	GRMZM2G171031
EVM0007411	GRMZM5G854185
EVM0020429	GRMZM2G042889
EVM0030059	GRMZM2G073045
EVM0028068	GRMZM2G106673
EVM0017256	GRMZM2G078638
EVM0016440	GRMZM2G103169
EVM0028630	GRMZM2G004397
EVM0027602	GRMZM2G044092
EVM0024426	GRMZM2G033885
EVM0030733	GRMZM2G136680
EVM0005553	GRMZM2G066044
EVM0005433	GRMZM2G049141
EVM0028870	GRMZM2G033126
EVM0022576	GRMZM2G078526
EVM0020939	AC217977.3
EVM0034817	GRMZM2G105283
EVM0001445	GRMZM2G178460
EVM0030561	GRMZM2G140587
EVM0002540	GRMZM5G874756
EVM0016576	GRMZM2G403562
EVM0008903	GRMZM2G025924
EVM0019402	GRMZM2G457889
EVM0028048	GRMZM2G032351
EVM0003458	GRMZM2G324507
EVM0022563	GRMZM2G355752
